RGBController,Category,Type,Name,VID,PID,SVID,SPID,Save,Direct,Effects,Comments
"AsusAuraCoreLaptop","DEVICE_TYPE_KEYBOARD","USB","ASUS ROG Strix SCAR 15","0B05","19B6","","","❌","✔️","✔️","Power profiles for this controller are set to `On` for all power
state and scan be adjusted in the JSON config file.

For each zone available LEDs can be set as `On = true` or `Off = false` when
* Booting
* Awake (Normal Usage)
* Sleeping
* Shutdown / Power Off"
"Asus Aura GPU","GPU","SMBus","ASUS ROG Strix GTX 1050 O2G Gaming","10DE","1C81","1043","85D8","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG Strix GTX 1050 TI 4G Gaming","10DE","1C82","1043","8611","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG Strix GTX 1050 TI O4G Gaming","10DE","1C82","1043","85CD","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG Strix GTX 1050 TI O4G Gaming","10DE","1C82","1043","85D1","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS GTX 1060 Strix 6G Gaming","10DE","1C03","1043","85A4","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS GTX 1060 Strix","10DE","1C03","1043","85AC","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS GTX 1070 Strix Gaming","10DE","1B81","1043","8598","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS GTX 1070 Strix OC","10DE","1B81","1043","8599","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG Strix GTX1070 Ti 8G Gaming","10DE","1B82","1043","861D","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG Strix GTX1070 Ti A8G Gaming","10DE","1B82","1043","861E","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS GTX 1080 Strix OC","10DE","1B80","1043","8592","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG Strix GTX1080 A8G Gaming","10DE","1B80","1043","85AA","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG Strix GTX1080 O8G Gaming","10DE","1B80","1043","85F9","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG Strix GTX1080 O8G 11Gbps","10DE","1B80","1043","85E8","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG Strix GTX1080 Ti Gaming","10DE","1B06","1043","85EB","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG Strix GTX1080 Ti 11G Gaming","10DE","1B06","1043","85F1","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG Strix GTX1080 Ti O11G Gaming","10DE","1B06","1043","85EA","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG Strix GTX1080 Ti O11G Gaming","10DE","1B06","1043","85E4","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG Strix GTX 1650S OC 4G","10DE","2187","1043","874F","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG Strix GTX 1660S O6G Gaming","10DE","21C4","1043","8752","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG GTX 1660 Ti OC 6G","10DE","2182","1043","86A5","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2060 EVO Gaming 6G","10DE","1F08","1043","86D3","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2060 O6G Gaming","10DE","1F08","1043","868E","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2060 O6G Gaming","10DE","1F08","1043","86D2","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2060 O6G EVO Gaming","10DE","1E89","1043","8775","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2060S 8G Gaming","10DE","1F06","1043","8730","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2060S A8G EVO Gaming","10DE","1F47","1043","8703","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2060S O8G Gaming","10DE","1F06","1043","86FB","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2060S A8G Gaming","10DE","1F06","1043","86FC","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2070 A8G Gaming","10DE","1F07","1043","8671","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2070 O8G Gaming","10DE","1F07","1043","8670","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2070S A8G Gaming","10DE","1EC7","1043","86FF","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2070S A8G Gaming","10DE","1E84","1043","8728","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2070S A8G Gaming","10DE","1E84","1043","8706","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2070S O8G Gaming","10DE","1E84","1043","8729","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2070S 8G Gaming","10DE","1E84","1043","8707","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2070S O8G Gaming","10DE","1E84","1043","8727","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2080 8G Gaming","10DE","1E82","1043","867F","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2080 O8G Gaming","10DE","1E87","1043","865F","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2080 O8G V2 Gaming","10DE","1E87","1043","8661","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2080S A8G Gaming","10DE","1E81","1043","8712","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2080S O8G Gaming","10DE","1E81","1043","8711","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2080S O8G White","10DE","1E81","1043","876B","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2080 Ti 11G Gaming","10DE","1E04","1043","8687","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2080 Ti 11G Gaming","10DE","1E07","1043","866C","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2080 Ti A11G Gaming","10DE","1E07","1043","866B","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RTX 2080 Ti O11G Gaming","10DE","1E07","1043","866A","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS TUF RTX 3060 Ti 8G Gaming OC","10DE","2489","1043","87C6","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS AREZ Strix RX Vega 56 O8G","1002","687F","1043","0555","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS Vega 64 Strix","1002","687F","1043","04C4","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS RX 5600XT Strix O6G Gaming","1002","731F","1043","04EC","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS RX 5700XT Strix Gaming OC","1002","731F","1043","04E2","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS RX 5700XT Strix 08G Gaming","1002","731F","1043","05C1","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS RX 6800 TUF Gaming OC","1002","73BF","1043","04F6","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RX470 O4G Gaming","1002","67DF","1043","04B0","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RX480 Gaming OC","1002","67DF","1043","04FB","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS ROG STRIX RX560 Gaming","1002","67FF","1043","04BC","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS RX 570 Strix O4G Gaming OC","1002","67DF","1043","04C2","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS RX 580 Strix Gaming OC","1002","67DF","1043","0517","❌","✔️","✔️",""
"Asus Aura GPU","GPU","SMBus","ASUS RX 580 Strix Gaming TOP","1002","67DF","1043","0519","❌","✔️","✔️",""
"Asus Aura Headset Stand","HeadsetStand","USB","ASUS ROG Throne","0B05","18D9","","","✔️","✔️","✔️",""
"Asus Aura Headset Stand","HeadsetStand","USB","ASUS ROG Throne QI","0B05","18C5","","","✔️","✔️","✔️",""
"Asus Aura Headset Stand","HeadsetStand","USB","ASUS ROG Throne QI GUNDAM","0B05","1994","","","✔️","✔️","✔️",""
"Asus Aura Keyboard","Keyboard","USB","ASUS ROG Strix Flare","0B05","1875","","","❌","✔️","❌",""
"Asus Aura Keyboard","Keyboard","USB","ASUS ROG Strix Flare PNK LTD","0B05","18CF","","","❌","✔️","❌",""
"Asus Aura Keyboard","Keyboard","USB","ASUS ROG Strix Scope","0B05","18F8","","","❌","✔️","❌",""
"Asus Aura Keyboard","Keyboard","USB","ASUS ROG Strix Scope RX","0B05","1951","","","❌","✔️","❌",""
"Asus Aura Keyboard","Keyboard","USB","ASUS ROG Strix Scope TKL","0B05","190C","","","❌","✔️","❌",""
"Asus Aura Keyboard","Keyboard","USB","ASUS ROG Strix Scope TKL PNK LTD","0B05","1954","","","❌","✔️","❌",""
"Asus Aura Monitor","LEDStrip","USB","ASUS ROG Strix XG27AQ","0B05","198C","","","❌","✔️","❌",""
"Asus Aura Monitor","LEDStrip","USB","ASUS ROG Strix XG27AQM","0B05","19BB","","","❌","✔️","❌",""
"Asus Aura Monitor","LEDStrip","USB","ASUS ROG Strix XG27W","0B05","1933","","","❌","✔️","❌",""
"Asus Aura Monitor","LEDStrip","USB","ASUS ROG PG32UQ","0B05","19B9","","","❌","✔️","❌",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Gladius II Core","0B05","18DD","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Gladius II","0B05","1845","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Gladius II Origin","0B05","1877","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Gladius II Origin PNK LTD","0B05","18CD","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Gladius II Origin COD","0B05","18B1","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Gladius II Wireless","0B05","189E","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Gladius II Wireless","0B05","18A0","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Gladius III","0B05","197B","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Gladius III Wireless USB","0B05","197D","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Gladius III Wireless 2.4Ghz","0B05","197F","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Gladius III Wireless Bluetooth","0B05","1981","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Chakram (Wireless)","0B05","18E5","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","Asus ROG Chakram (Wired)","0B05","18E3","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","Asus ROG Chakram Core","0B05","1958","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Pugio","0B05","1846","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Pugio II (Wired)","0B05","1906","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Pugio II (Wireless)","0B05","1908","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Strix Impact","0B05","1847","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Strix Impact II","0B05","18E1","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Strix Impact II Gundam","0B05","189E","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Strix Impact II Electro Punk","0B05","1956","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Strix Impact II Moonlight White","0B05","19D2","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Strix Impact II Wireless USB","0B05","1947","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Strix Impact II Wireless 2.4 Ghz","0B05","1949","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Keris","0B05","195C","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Keris Wireless USB","0B05","195E","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Keris Wireless 2.4Ghz","0B05","1960","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS ROG Keris Wireless Bluetooth","0B05","1962","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS TUF Gaming M3","0B05","1910","","","✔️","✔️","✔️",""
"Asus Aura Mouse","Mouse","USB","ASUS TUF Gaming M5","0B05","1898","","","✔️","✔️","✔️",""
"Asus Aura Mousemat","Mousemat","USB","ASUS ROG Balteus","0B05","1891","","","✔️","✔️","✔️",""
"Asus Aura Mousemat","Mousemat","USB","ASUS ROG Balteus Qi","0B05","1890","","","✔️","✔️","✔️",""
"Asus Aura Ryuo AIO ","Cooler","USB","ASUS ROG Balteus","0B05","1891","","","✔️","✔️","✔️",""
"Asus Aura Ryuo AIO ","Cooler","USB","ASUS ROG Balteus Qi","0B05","1890","","","✔️","✔️","✔️",""
"Asus Aura Strix Evolve","Mouse","USB","ASUS ROG Strix Evolve","0B05","185B","","","✔️","✔️","✔️",""
"Asus Aura TUF Keyboard","Keyboard","USB","ASUS ROG Claymore","0B05","184D","","","✔️","✔️","✔️",""
"Asus Aura TUF Keyboard","Keyboard","USB","ASUS ROG Falchion (Wired)","0B05","193C","","","✔️","✔️","✔️",""
"Asus Aura TUF Keyboard","Keyboard","USB","ASUS ROG Falchion (Wireless)","0B05","193E","","","✔️","✔️","✔️",""
"Asus Aura TUF Keyboard","Keyboard","USB","ASUS TUF Gaming K7","0B05","18AA","","","✔️","✔️","✔️",""
"Asus Aura TUF Keyboard","Keyboard","USB","ASUS TUF Gaming K3","0B05","194B","","","✔️","✔️","✔️",""
"Asus Aura USB","Motherboard","USB","ASUS ROG AURA Terminal","0B05","1889","","","❌","✔️","✔️","The Asus Aura USB controller applies to most AMD and
Intel mainboards from the x470 and z390 chipsets onwards."
"Asus Aura USB","Motherboard","USB","ASUS Aura Addressable","0B05","1867","","","❌","✔️","✔️","The Asus Aura USB controller applies to most AMD and
Intel mainboards from the x470 and z390 chipsets onwards."
"Asus Aura USB","Motherboard","USB","ASUS Aura Addressable","0B05","1872","","","❌","✔️","✔️","The Asus Aura USB controller applies to most AMD and
Intel mainboards from the x470 and z390 chipsets onwards."
"Asus Aura USB","Motherboard","USB","ASUS Aura Addressable","0B05","18A3","","","❌","✔️","✔️","The Asus Aura USB controller applies to most AMD and
Intel mainboards from the x470 and z390 chipsets onwards."
"Asus Aura USB","Motherboard","USB","ASUS Aura Addressable","0B05","18A5","","","❌","✔️","✔️","The Asus Aura USB controller applies to most AMD and
Intel mainboards from the x470 and z390 chipsets onwards."
"Asus Aura USB","Motherboard","USB","ASUS Aura Motherboard","0B05","18F3","","","❌","✔️","✔️","The Asus Aura USB controller applies to most AMD and
Intel mainboards from the x470 and z390 chipsets onwards."
"Asus Aura USB","Motherboard","USB","ASUS Aura Motherboard","0B05","1939","","","❌","✔️","✔️","The Asus Aura USB controller applies to most AMD and
Intel mainboards from the x470 and z390 chipsets onwards."
"Asus Aura USB","Motherboard","USB","ASUS Aura Motherboard","0B05","19AF","","","❌","✔️","✔️","The Asus Aura USB controller applies to most AMD and
Intel mainboards from the x470 and z390 chipsets onwards."
"Asus ROG Strix Liquid Cooler","Cooler","USB","ASUS ROG Strix LC","0B05","879E","","","❌","✔️","✔️",""
"Asus Cerberus Mech Keyboard","Keyboard","USB","ASUS Cerberus Mech","195D","2047","","","🤖","❌","✔️",""
"Asus Strix Claw","Mouse","USB","ASUS ROG Strix Claw","195D","1016","","","🤖","❌","⚒️",""
"Colorful GPU","GPU","I2C","iGame GeForce RTX 3060 Ultra W OC 12G L-V","10DE","2504","7377","150A","❌","✔️","❌","This card only supports direct mode"
"Colorful GPU","GPU","I2C","iGame GeForce RTX 3070 Advanced OC-V","10DE","2484","7377","140A","❌","✔️","❌","This card only supports direct mode"
"Colorful GPU","GPU","I2C","iGame GeForce RTX 3070 Advanced OC-V","10DE","2484","7377","1401","❌","✔️","❌","This card only supports direct mode"
"Colorful GPU","GPU","I2C","iGame GeForce RTX 3070 Ultra W OC LHR","10DE","2488","7377","150A","❌","✔️","❌","This card only supports direct mode"
"Colorful GPU","GPU","I2C","iGame GeForce RTX 3070 Ti Advanced OC-V","10DE","2482","7377","1400","❌","✔️","❌","This card only supports direct mode"
"Coolermaster ARGB","LEDStrip","USB","Cooler Master ARGB","2516","1011","","","🤖","✔️","✔️","The Coolermaster ARGB device supports `Direct` mode from
firmware 0028 onwards. Check the serial number for the date
\"A202105291658\" or newer."
"Coolermaster ARGB","LEDStrip","USB","Cooler Master ARGB Gen 2 A1","2516","0173","","","🤖","✔️","✔️","The Coolermaster ARGB device supports `Direct` mode from
firmware 0028 onwards. Check the serial number for the date
\"A202105291658\" or newer."
"Coolermaster ARGB","LEDStrip","USB","Cooler Master ARGB Gen 2 A1 V2","2516","01C9","","","🤖","✔️","✔️","The Coolermaster ARGB device supports `Direct` mode from
firmware 0028 onwards. Check the serial number for the date
\"A202105291658\" or newer."
"Coolermaster ARGB A1","LEDStrip","USB","Cooler Master ARGB Gen 2 A1","2516","0173","","","✔️","✔️","✔️","This device does not have Gen 2 support in OpenRGB yet.

Gen2 has auto-resize feature and parallel to serial magical stuff.<"
"Coolermaster ARGB A1","LEDStrip","USB","Cooler Master ARGB Gen 2 A1 V2","2516","01C9","","","✔️","✔️","✔️","This device does not have Gen 2 support in OpenRGB yet.

Gen2 has auto-resize feature and parallel to serial magical stuff.<"
"Coolermaster Masterkeys Keyboards","Keyboard","USB","Cooler Master MasterKeys Pro L","2516","003B","","","🤖","✔️","✔️",""
"Coolermaster Masterkeys Keyboards","Keyboard","USB","Cooler Master MasterKeys Pro L White","2516","0047","","","🤖","✔️","✔️",""
"Coolermaster Masterkeys Keyboards","Keyboard","USB","Cooler Master MasterKeys Pro S","2516","003C","","","🤖","✔️","✔️",""
"Coolermaster Masterkeys Keyboards","Keyboard","USB","Cooler Master MK750","2516","0067","","","🤖","✔️","✔️",""
"Coolermaster Masterkeys Keyboards","Keyboard","USB","Cooler Master SK630","2516","0089","","","🤖","✔️","✔️",""
"Coolermaster Masterkeys Keyboards","Keyboard","USB","Cooler Master SK650","2516","008D","","","🤖","✔️","✔️",""
"Coolermaster Master Mouse","Mouse","USB","Cooler Master MM530","2516","0065","","","🤖","✔️","✔️",""
"Coolermaster Master Mouse","Mouse","USB","Cooler Master MM711","2516","0101","","","🤖","✔️","✔️",""
"Coolermaster Master Mouse","Mouse","USB","Cooler Master MM720","2516","0141","","","🤖","✔️","✔️",""
"Coolermaster Master Mouse","Mouse","USB","Cooler Master MM730","2516","0165","","","🤖","✔️","✔️",""
"Coolermaster Master Mouse","Mouse","USB","Cooler Master MP750 XL","2516","0109","","","🤖","✔️","✔️",""
"Coolermaster Master Mouse","Mouse","USB","Cooler Master MP750 Large","2516","0107","","","🤖","✔️","✔️",""
"Coolermaster Master Mouse","Mouse","USB","Cooler Master MP750 Medium","2516","0105","","","🤖","✔️","✔️",""
"Coolermaster Master Mouse","Mouse","USB","Cooler Master MM530","2516","0065","","","✔️","✔️","✔️",""
"Coolermaster Master Mouse","Mouse","USB","Cooler Master MM711","2516","0101","","","✔️","✔️","✔️",""
"Coolermaster Master Mouse","Mouse","USB","Cooler Master MM720","2516","0141","","","✔️","✔️","✔️",""
"Coolermaster Master Mouse","Mouse","USB","Cooler Master MM730","2516","0165","","","✔️","✔️","✔️",""
"Coolermaster Master Mouse","Mouse","USB","Cooler Master MP750 XL","2516","0109","","","✔️","✔️","✔️",""
"Coolermaster Master Mouse","Mouse","USB","Cooler Master MP750 Large","2516","0107","","","✔️","✔️","✔️",""
"Coolermaster Master Mouse","Mouse","USB","Cooler Master MP750 Medium","2516","0105","","","✔️","✔️","✔️",""
"Coolermaster Mouse Pad","Mousemat","USB","Cooler Master MP750 XL","2516","0109","","","🤖","❌","✔️",""
"Coolermaster Mouse Pad","Mousemat","USB","Cooler Master MP750 Large","2516","0107","","","🤖","❌","✔️",""
"Coolermaster Mouse Pad","Mousemat","USB","Cooler Master MP750 Medium","2516","0105","","","🤖","❌","✔️",""
"AMD Radeon 6000","GPU","USB","Cooler Master Radeon 6000 GPU","2516","014D","","","❌","✔️","✔️","Similar to the Wraith Spire before it the AMD branded Radeon
GPUs have an RGB controller provided by Coolermaster."
"AMD Radeon 6000","GPU","USB","Cooler Master Radeon 6900 GPU","2516","015B","","","❌","✔️","✔️","Similar to the Wraith Spire before it the AMD branded Radeon
GPUs have an RGB controller provided by Coolermaster."
"Coolermaster RGB","LEDStrip","USB","Cooler Master RGB","2516","004F","","","🤖","❌","✔️","This is a 12V analogue RGB controller only."
"Coolermaster Small ARGB","LEDStrip","USB","Cooler Master Small ARGB","2516","1000","","","🤖","✔️","✔️","The Coolermaster Small ARGB device supports `Direct` mode
from firmware 0012 onwards. Check the serial number for the date
\"A202104052336\" or newer."
"Corsair Commander Core","Cooler","USB","Corsair Commander Core","1B1C","0C1C","","","❌","✔️","❌",""
"Corsair Dominator Platinum","RAM","SMBus","","","","","","❌","✔️","❌",""
"Corsair Hydro","Cooler","USB","","","","","","❌","✔️","✔️",""
"Corsair Hydro Platinum","Cooler","USB","Corsair Hydro H100i Platinum","1B1C","0C18","","","❌","✔️","❌",""
"Corsair Hydro Platinum","Cooler","USB","Corsair Hydro H100i Platinum SE","1B1C","0C19","","","❌","✔️","❌",""
"Corsair Hydro Platinum","Cooler","USB","Corsair Hydro H115i Platinum","1B1C","0C17","","","❌","✔️","❌",""
"Corsair Hydro Platinum","Cooler","USB","Corsair Hydro H60i Pro XT","1B1C","0C29","","","❌","✔️","❌",""
"Corsair Hydro Platinum","Cooler","USB","Corsair Hydro H100i Pro XT","1B1C","0C20","","","❌","✔️","❌",""
"Corsair Hydro Platinum","Cooler","USB","Corsair Hydro H100i Pro XT v2","1B1C","0C2D","","","❌","✔️","❌",""
"Corsair Hydro Platinum","Cooler","USB","Corsair Hydro H115i Pro XT","1B1C","0C21","","","❌","✔️","❌",""
"Corsair Hydro Platinum","Cooler","USB","Corsair Hydro H150i Pro XT","1B1C","0C22","","","❌","✔️","❌",""
"Corsair Lighting Node","LEDStrip","USB","Corsair Lighting Node Core","1B1C","0C1A","","","🤖","✔️","✔️",""
"Corsair Lighting Node","LEDStrip","USB","Corsair Lighting Node Pro","1B1C","0C0B","","","🤖","✔️","✔️",""
"Corsair Lighting Node","LEDStrip","USB","Corsair Commander Pro","1B1C","0C10","","","🤖","✔️","✔️",""
"Corsair Lighting Node","LEDStrip","USB","Corsair LS100 Lighting Kit","1B1C","0C1E","","","🤖","✔️","✔️",""
"Corsair Lighting Node","LEDStrip","USB","Corsair 1000D Obsidian","1B1C","1D00","","","🤖","✔️","✔️",""
"Corsair Lighting Node","LEDStrip","USB","Corsair SPEC OMEGA RGB","1B1C","1D04","","","🤖","✔️","✔️",""
"Corsair Lighting Node","LEDStrip","USB","Corsair LT100","1B1C","0C23","","","🤖","✔️","✔️",""
"Corsair K100 Keyboard","Keyboard","USB","Corsair K100","1B1C","1B7C","","","❌","✔️","❌",""
"Corsair K100 Keyboard","Keyboard","USB","Corsair K100","1B1C","1B7D","","","❌","✔️","❌",""
"Corsair K55 RGB Pro XT","Keyboard","USB","Corsair K55 RGB PRO XT","1B1C","1BA1","","","❌","✔️","✔️",""
"Corsair K65 Mini","Keyboard","USB","Corsair K65 Mini","1B1C","1BAF","","","❌","✔️","❌",""
